iter	Huber:delta=0.5
0	0.04165004872
1	0.04162933999
2	0.04161099464
3	0.04159331816
4	0.04157545958
5	0.04155891969
6	0.04154277466
7	0.04152817178
8	0.04151481089
9	0.04150103232
10	0.04148811642
11	0.04147635623
12	0.04146547999
13	0.04145324791
14	0.04144300231
15	0.04143261102
16	0.04142321447
17	0.04141370937
18	0.04140462503
19	0.04139777408
20	0.04138969783
21	0.04138241983
22	0.0413755922
23	0.04136819496
24	0.04136117133
25	0.04135397696
26	0.04134663181
27	0.04134005087
28	0.04133400894
29	0.04132853723
30	0.0413227456
31	0.04131769757
32	0.04131263703
33	0.04130708444
34	0.04130275285
35	0.04129762339
36	0.04129298618
37	0.04128779936
38	0.04128324203
39	0.04127914709
40	0.04127518838
41	0.04127101081
42	0.04126664612
43	0.0412629943
44	0.04125981639
45	0.04125567936
46	0.04125182373
47	0.04124895298
48	0.0412451769
49	0.04124140152
50	0.04123807193
51	0.04123480974
52	0.0412317681
53	0.04122905801
54	0.04122593467
55	0.0412228772
56	0.04122021383
57	0.04121733797
58	0.04121393319
59	0.04121172222
60	0.04120890368
61	0.04120619137
62	0.0412040162
63	0.04120131897
64	0.04119846988
65	0.04119621282
66	0.04119348233
67	0.04119120154
68	0.04118835544
69	0.04118591523
70	0.04118379263
71	0.04118168308
72	0.04117919672
73	0.04117710065
74	0.04117501959
75	0.04117284707
76	0.04117109288
77	0.04116814264
78	0.04116615723
79	0.04116347587
80	0.04116116708
81	0.0411589833
82	0.04115669514
83	0.04115477446
84	0.04115252578
85	0.04114998927
86	0.04114750653
87	0.04114545659
88	0.04114337522
89	0.04114123862
90	0.04113926648
91	0.0411367517
92	0.04113499621
93	0.04113320928
94	0.04113144916
95	0.0411295463
96	0.04112783152
97	0.0411258781
98	0.04112424486
99	0.04112187826
100	0.04111909279
101	0.04111738218
102	0.04111548613
103	0.04111398013
104	0.04111144136
105	0.04110945122
106	0.04110749497
107	0.04110604245
108	0.04110450339
109	0.04110285138
110	0.04110125077
111	0.04109962951
112	0.04109810474
113	0.04109632049
114	0.04109534177
115	0.04109369071
116	0.04109227467
117	0.04109012168
118	0.041088598
119	0.04108696027
120	0.0410846638
121	0.04108265953
122	0.0410804954
123	0.04107875655
124	0.04107705933
125	0.04107529338
126	0.04107371495
127	0.04107218922
128	0.04107085615
129	0.0410692872
130	0.04106771191
131	0.04106564702
132	0.04106410343
133	0.04106244872
134	0.04106146939
135	0.04106038203
136	0.04105851882
137	0.04105707834
138	0.04105508243
139	0.04105337452
140	0.04105146212
141	0.04104961983
142	0.0410484176
143	0.04104690412
144	0.04104547871
145	0.04104315297
146	0.04104128176
147	0.04103987478
148	0.04103804561
149	0.04103666971
150	0.04103534262
151	0.04103340018
152	0.04103236213
153	0.04103072338
154	0.04102969488
155	0.04102845754
156	0.04102691994
157	0.0410253889
158	0.04102421148
159	0.04102258585
160	0.04102137371
161	0.0410198636
162	0.04101905074
163	0.04101729512
164	0.0410159645
165	0.04101422382
166	0.0410124375
167	0.04101078142
168	0.04100870998
169	0.04100659242
170	0.04100507926
171	0.04100381523
172	0.04100243664
173	0.04100106141
174	0.04099926713
175	0.04099756432
176	0.0409966395
177	0.04099512254
178	0.0409936096
179	0.04099279772
